,Year,World Population,YearlyChange,NetChange,Density(P/Km²)
0,2020,"7,794,798,739",1.05 %,"81,330,639",52
1,2019,"7,713,468,100",1.08 %,"82,377,060",52
2,2018,"7,631,091,040",1.10 %,"83,232,115",51
3,2017,"7,547,858,925",1.12 %,"83,836,876",51
4,2016,"7,464,022,049",1.14 %,"84,224,910",50
5,2015,"7,379,797,139",1.16 %,"84,506,374",50
6,2014,"7,295,290,765",1.17 %,"84,708,789",49
7,2013,"7,210,581,976",1.19 %,"84,753,917",48
8,2012,"7,125,828,059",1.20 %,"84,633,758",48
9,2011,"7,041,194,301",1.21 %,"84,370,698",47
10,2010,"6,956,823,603",1.22 %,"84,056,510",47
11,2009,"6,872,767,093",1.23 %,"83,678,407",46
12,2008,"6,789,088,686",1.24 %,"83,142,076",46
13,2007,"6,705,946,610",1.24 %,"82,428,777",45
14,2006,"6,623,517,833",1.25 %,"81,610,806",44
15,2005,"6,541,907,027",1.25 %,"80,747,638",44
16,2004,"6,461,159,389",1.25 %,"79,974,275",43
17,2003,"6,381,185,114",1.26 %,"79,411,926",43
18,2002,"6,301,773,188",1.27 %,"79,146,582",42
19,2001,"6,222,626,606",1.29 %,"79,132,783",42
20,2000,"6,143,493,823",1.31 %,"79,254,768",41
21,1999,"6,064,239,055",1.33 %,"79,445,113",41
22,1998,"5,984,793,942",1.35 %,"79,748,154",40
23,1997,"5,905,045,788",1.38 %,"80,153,837",40
24,1996,"5,824,891,951",1.40 %,"80,678,972",39
25,1995,"5,744,212,979",1.43 %,"81,062,552",39
26,1994,"5,663,150,427",1.46 %,"81,552,881",38
27,1993,"5,581,597,546",1.50 %,"82,677,737",37
28,1992,"5,498,919,809",1.56 %,"84,630,365",37
29,1991,"5,414,289,444",1.63 %,"87,058,383",36
30,1990,"5,327,231,061",1.71 %,"89,789,503",36
31,1989,"5,237,441,558",1.79 %,"92,015,550",35
32,1988,"5,145,426,008",1.84 %,"92,903,861",35
33,1987,"5,052,522,147",1.85 %,"91,954,235",34
34,1986,"4,960,567,912",1.84 %,"89,646,172",33
35,1985,"4,870,921,740",1.82 %,"86,910,119",33
36,1984,"4,784,011,621",1.80 %,"84,442,317",32
37,1983,"4,699,569,304",1.78 %,"82,182,762",32
38,1982,"4,617,386,542",1.77 %,"80,389,780",31
39,1981,"4,536,996,762",1.77 %,"78,993,248",30
40,1980,"4,458,003,514",1.77 %,"77,497,414",30
41,1979,"4,380,506,100",1.76 %,"75,972,599",29
42,1978,"4,304,533,501",1.77 %,"75,027,441",29
43,1977,"4,229,506,060",1.80 %,"74,839,196",28
44,1976,"4,154,666,864",1.84 %,"75,186,258",28
45,1975,"4,079,480,606",1.89 %,"75,686,434",27
46,1974,"4,003,794,172",1.94 %,"76,013,934",27
47,1973,"3,927,780,238",1.98 %,"76,129,993",26
48,1972,"3,851,650,245",2.01 %,"75,890,628",26
49,1971,"3,775,759,617",2.04 %,"75,322,571",25
50,1970,"3,700,437,046",2.06 %,"74,756,419",25
51,1969,"3,625,680,627",2.09 %,"74,081,500",24
52,1968,"3,551,599,127",2.09 %,"72,829,165",24
53,1967,"3,478,769,962",2.08 %,"70,847,332",23
54,1966,"3,407,922,630",2.05 %,"68,339,033",23
55,1965,"3,339,583,597",2.00 %,"65,605,259",22
56,1964,"3,273,978,338",1.96 %,"62,977,329",22
57,1963,"3,211,001,009",1.92 %,"60,580,214",22
58,1962,"3,150,420,795",1.89 %,"58,577,288",21
59,1961,"3,091,843,507",1.87 %,"56,893,759",21
60,1960,"3,034,949,748",1.86 %,"55,373,563",20
61,1959,"2,979,576,185",1.84 %,"53,889,480",20
62,1958,"2,925,686,705",1.82 %,"52,380,615",20
63,1957,"2,873,306,090",1.80 %,"50,862,808",19
64,1956,"2,822,443,282",1.78 %,"49,423,346",19
65,1955,"2,773,019,936",1.77 %,"48,173,195",19
66,1954,"2,724,846,741",1.76 %,"47,237,781",18
67,1953,"2,677,608,960",1.78 %,"46,747,398",18
68,1952,"2,630,861,562",1.81 %,"46,827,301",18
69,1951,"2,584,034,261",1.88 %,"47,603,112",17
70,1927,"2,000,000,000", , , 
71,1900,"1,600,000,000", , , 
72,1850,"1,200,000,000", , , 
73,1804,"1,000,000,000", , , 
74,1760,"770,000,000", , , 
75,1700,"610,000,000", , , 
76,1600,"500,000,000", , , 
77,1500,"450,000,000", , , 
78,1400,"350,000,000", , , 
79,1200,"360,000,000", , , 
80,1100,"320,000,000", , , 
81,1000,"275,000,000", , , 
82,900,"240,000,000", , , 
83,800,"220,000,000", , , 
84,700,"210,000,000", , , 
85,600,"200,000,000", , , 
86,200,"190,000,000", , , 
87,-200,"150,000,000", , , 
88,-500,"100,000,000", , , 
89,-1000,"50,000,000", , , 
90,-2000,"27,000,000", , , 
91,-3000,"14,000,000", , , 
92,-4000,"7,000,000", , , 
93,-5000,"5,000,000", , , 
